ciclo,periodo_us,jitter_abs_us
572,19312.000,14312.000
573,61.000,4939.000
574,33.000,4967.000
575,32.000,4968.000
576,32.000,4968.000
577,31.000,4969.000
578,31533.000,26533.000
579,91.000,4909.000
580,47.000,4953.000
581,38.000,4962.000
582,82.000,4918.000
583,39.000,4961.000
584,31336.000,26336.000
585,65.000,4935.000
586,34.000,4966.000
587,33.000,4967.000
588,33.000,4967.000
589,31.000,4969.000
590,32.000,4968.000
591,30394.000,25394.000
592,74.000,4926.000
593,43.000,4957.000
594,35.000,4965.000
595,33.000,4967.000
596,38269.000,33269.000
597,152.000,4848.000
598,50.000,4950.000
599,36.000,4964.000
600,34.000,4966.000
601,36.000,4964.000
602,34.000,4966.000
603,32.000,4968.000
604,22571.000,17571.000
605,156.000,4844.000
606,301.000,4699.000
607,47.000,4953.000
608,34.000,4966.000
609,51358.000,46358.000
610,76.000,4924.000
611,283.000,4717.000
612,95.000,4905.000
613,310.000,4690.000
614,63.000,4937.000
615,40.000,4960.000
616,35.000,4965.000
617,35.000,4965.000
618,41.000,4959.000
619,5968.000,968.000
620,117.000,4883.000
621,32734.000,27734.000
622,82.000,4918.000
623,42.000,4958.000
624,40.000,4960.000
625,38.000,4962.000
626,35.000,4965.000
627,35.000,4965.000
628,24900.000,19900.000
629,220.000,4780.000
630,44.000,4956.000
631,65.000,4935.000
632,34.000,4966.000
633,31223.000,26223.000
634,144.000,4856.000
635,40.000,4960.000
636,38.000,4962.000
637,49.000,4951.000
638,39.000,4961.000
639,22561.000,17561.000
640,156.000,4844.000
641,39.000,4961.000
642,40.000,4960.000
643,7431.000,2431.000
644,88.000,4912.000
645,30868.000,25868.000
646,96.000,4904.000
647,48.000,4952.000
648,41.000,4959.000
649,38.000,4962.000
650,37.000,4963.000
651,15958.000,10958.000
652,61.000,4939.000
653,33.000,4967.000
654,13040.000,8040.000
655,71.000,4929.000
656,38.000,4962.000
657,15023.000,10023.000
658,77.000,4923.000
659,49.000,4951.000
660,16435.000,11435.000
661,528.000,4472.000
662,46.000,4954.000
663,28049.000,23049.000
664,63.000,4937.000
665,32.000,4968.000
666,15840.000,10840.000
667,85.000,4915.000
668,49.000,4951.000
669,37.000,4963.000
670,232.000,4768.000
671,562.000,4438.000
672,14888.000,9888.000
673,74.000,4926.000
674,40.000,4960.000
675,17511.000,12511.000
676,66.000,4934.000
677,39.000,4961.000
678,46.000,4954.000
679,29624.000,24624.000
680,71.000,4929.000
681,138.000,4862.000
682,43.000,4957.000
683,39.000,4961.000
684,39.000,4961.000
685,29550.000,24550.000
686,98.000,4902.000
687,47.000,4953.000
688,32.000,4968.000
689,31.000,4969.000
690,28.000,4972.000
691,31169.000,26169.000
692,85.000,4915.000
693,36.000,4964.000
694,35.000,4965.000
695,32.000,4968.000
696,32.000,4968.000
697,15206.000,10206.000
698,84.000,4916.000
699,43.000,4957.000
700,15056.000,10056.000
701,65.000,4935.000
702,38.000,4962.000
703,13732.000,8732.000
704,82.000,4918.000
705,39.000,4961.000
706,31238.000,26238.000
707,63.000,4937.000
708,36.000,4964.000
709,41.000,4959.000
710,56.000,4944.000
711,36.000,4964.000
712,14973.000,9973.000
713,68.000,4932.000
714,37.000,4963.000
715,14968.000,9968.000
716,70.000,4930.000
717,35.000,4965.000
718,15277.000,10277.000
719,76.000,4924.000
720,40.000,4960.000
721,36189.000,31189.000
722,107.000,4893.000
723,83.000,4917.000
724,39.000,4961.000
725,44.000,4956.000
726,39.000,4961.000
727,31.000,4969.000
728,31.000,4969.000
729,25524.000,20524.000
730,82.000,4918.000
731,47.000,4953.000
732,34.000,4966.000
733,32.000,4968.000
734,14710.000,9710.000
735,72.000,4928.000
736,44.000,4956.000
737,23087.000,18087.000
738,89.000,4911.000
739,64.000,4936.000
740,39.000,4961.000
741,38.000,4962.000
742,19349.000,14349.000
743,81.000,4919.000
744,38.000,4962.000
745,11558.000,6558.000
746,66.000,4934.000
747,37.000,4963.000
748,24023.000,19023.000
749,169.000,4831.000
750,60.000,4940.000
751,43.000,4957.000
752,39.000,4961.000
753,29886.000,24886.000
754,76.000,4924.000
755,39.000,4961.000
756,25686.000,20686.000
757,81.000,4919.000
758,46.000,4954.000
759,35.000,4965.000
760,40.000,4960.000
761,39.000,4961.000
762,40.000,4960.000
763,19833.000,14833.000
764,84.000,4916.000
765,36.000,4964.000
766,37.000,4963.000
767,33.000,4967.000
768,30811.000,25811.000
769,51.000,4949.000
770,36.000,4964.000
771,34.000,4966.000
772,33.000,4967.000
773,34.000,4966.000
774,16984.000,11984.000
775,81.000,4919.000
776,36.000,4964.000
777,27449.000,22449.000
778,85.000,4915.000
779,36.000,4964.000
780,33.000,4967.000
781,32.000,4968.000
782,30.000,4970.000
783,32006.000,27006.000
784,62.000,4938.000
785,42.000,4958.000
786,35.000,4965.000
787,31.000,4969.000
788,28.000,4972.000
789,18082.000,13082.000
790,105.000,4895.000
791,479.000,4521.000
792,44.000,4956.000
793,24983.000,19983.000
794,76.000,4924.000
795,48.000,4952.000
796,14305.000,9305.000
797,66.000,4934.000
798,41.000,4959.000
799,40.000,4960.000
800,36.000,4964.000
801,36995.000,31995.000
802,95.000,4905.000
803,76.000,4924.000
804,65.000,4935.000
805,39.000,4961.000
806,30.000,4970.000
807,30.000,4970.000
808,35.000,4965.000
809,12751.000,7751.000
810,57.000,4943.000
811,15694.000,10694.000
812,75.000,4925.000
813,34.000,4966.000
814,11012.000,6012.000
815,64.000,4936.000
816,17128.000,12128.000
817,120.000,4880.000
818,54.000,4946.000
819,34.000,4966.000
820,15063.000,10063.000
821,66.000,4934.000
822,33.000,4967.000
823,16200.000,11200.000
824,43.000,4957.000
825,32.000,4968.000
826,25491.000,20491.000
827,108.000,4892.000
828,58.000,4942.000
829,38.000,4962.000
830,36.000,4964.000
831,20639.000,15639.000
832,73.000,4927.000
833,20039.000,15039.000
834,82.000,4918.000
835,38.000,4962.000
836,7920.000,2920.000
837,107.000,4893.000
838,36.000,4964.000
839,65.000,4935.000
840,114.000,4886.000
841,20722.000,15722.000
842,245.000,4755.000
843,615.000,4385.000
844,51.000,4949.000
845,10462.000,5462.000
846,11130.000,6130.000
847,80.000,4920.000
848,39.000,4961.000
849,45.000,4955.000
850,19489.000,14489.000
851,274.000,4726.000
852,44.000,4956.000
853,95.000,4905.000
854,38859.000,33859.000
855,68.000,4932.000
856,88.000,4912.000
857,81.000,4919.000
858,35.000,4965.000
859,31.000,4969.000
860,29.000,4971.000
861,30.000,4970.000
862,34037.000,29037.000
863,87.000,4913.000
864,54.000,4946.000
865,39.000,4961.000
866,34.000,4966.000
867,34.000,4966.000
868,33.000,4967.000
869,29939.000,24939.000
870,108.000,4892.000
871,41.000,4959.000
872,5470.000,470.000
873,91.000,4909.000
874,115.000,4885.000
875,22608.000,17608.000
876,136.000,4864.000
877,137.000,4863.000
878,50.000,4950.000
879,52.000,4948.000
880,18340.000,13340.000
881,62.000,4938.000
882,37.000,4963.000
883,40.000,4960.000
884,13888.000,8888.000
885,64.000,4936.000
886,35.000,4965.000
887,18588.000,13588.000
888,70.000,4930.000
889,37.000,4963.000
890,14522.000,9522.000
891,72.000,4928.000
892,37.000,4963.000
893,23805.000,18805.000
894,71.000,4929.000
895,40.000,4960.000
896,38.000,4962.000
897,33.000,4967.000
898,14732.000,9732.000
899,102.000,4898.000
900,52.000,4948.000
901,29041.000,24041.000
902,90.000,4910.000
903,36.000,4964.000
904,32.000,4968.000
905,39.000,4961.000
906,38.000,4962.000
907,16285.000,11285.000
908,84.000,4916.000
909,45.000,4955.000
910,17096.000,12096.000
911,164.000,4836.000
912,70.000,4930.000
913,71.000,4929.000
914,30884.000,25884.000
915,82.000,4918.000
916,56.000,4944.000
917,36.000,4964.000
918,28.000,4972.000
919,26.000,4974.000
920,26564.000,21564.000
921,896.000,4104.000
922,50.000,4950.000
923,48.000,4952.000
924,41.000,4959.000
925,14952.000,9952.000
926,62.000,4938.000
927,37.000,4963.000
928,67.000,4933.000
929,29597.000,24597.000
930,75.000,4925.000
931,58.000,4942.000
932,34.000,4966.000
933,132.000,4868.000
934,42.000,4958.000
935,14638.000,9638.000
936,66.000,4934.000
937,34.000,4966.000
938,30835.000,25835.000
939,74.000,4926.000
940,33.000,4967.000
941,33.000,4967.000
942,34.000,4966.000
943,29.000,4971.000
944,30631.000,25631.000
945,74.000,4926.000
946,37.000,4963.000
947,31.000,4969.000
948,31.000,4969.000
949,54.000,4946.000
950,30885.000,25885.000
951,86.000,4914.000
952,43.000,4957.000
953,37.000,4963.000
954,66.000,4934.000
955,33.000,4967.000
956,15596.000,10596.000
957,70.000,4930.000
958,38.000,4962.000
959,13862.000,8862.000
960,133.000,4867.000
961,46.000,4954.000
962,15663.000,10663.000
963,15589.000,10589.000
964,71.000,4929.000
965,108.000,4892.000
966,63.000,4937.000
967,50.000,4950.000
968,15432.000,10432.000
969,79.000,4921.000
970,35.000,4965.000
971,35.000,4965.000
972,32629.000,27629.000
973,86.000,4914.000
974,46.000,4954.000
975,39.000,4961.000
976,36.000,4964.000
977,37.000,4963.000
978,29691.000,24691.000
979,103.000,4897.000
980,49.000,4951.000
981,35.000,4965.000
982,34.000,4966.000
983,34.000,4966.000
984,30360.000,25360.000
985,71.000,4929.000
986,38.000,4962.000
987,36.000,4964.000
988,35.000,4965.000
989,32.000,4968.000
990,17490.000,12490.000
991,224.000,4776.000
992,140.000,4860.000
993,112.000,4888.000
994,29828.000,24828.000
995,55.000,4945.000
996,32.000,4968.000
997,18125.000,13125.000
998,56.000,4944.000
999,29.000,4971.000
1000,26.000,4974.000
1001,27.000,4973.000
1002,26.000,4974.000
1003,10492.000,5492.000
1004,92.000,4908.000
1005,70.000,4930.000
1006,33482.000,28482.000
1007,63.000,4937.000
1008,48.000,4952.000
1009,43.000,4957.000
1010,37.000,4963.000
1011,38.000,4962.000
1012,16056.000,11056.000
1013,94.000,4906.000
1014,42.000,4958.000
1015,36.000,4964.000
1016,26391.000,21391.000
1017,71.000,4929.000
1018,31.000,4969.000
1019,29.000,4971.000
1020,28.000,4972.000
1021,18167.000,13167.000
1022,69.000,4931.000
1023,32.000,4968.000
1024,27595.000,22595.000
1025,127.000,4873.000
1026,52.000,4948.000
1027,38.000,4962.000
1028,37.000,4963.000
1029,37.000,4963.000
1030,33277.000,28277.000
1031,75.000,4925.000
1032,43.000,4957.000
1033,37.000,4963.000
1034,37.000,4963.000
1035,35.000,4965.000
1036,36.000,4964.000
1037,39637.000,34637.000
1038,97.000,4903.000
1039,107.000,4893.000
1040,43.000,4957.000
1041,44.000,4956.000
1042,32.000,4968.000
1043,29.000,4971.000
1044,28.000,4972.000
1045,15575.000,10575.000
1046,81.000,4919.000
1047,44.000,4956.000
1048,30476.000,25476.000
1049,69.000,4931.000
1050,42.000,4958.000
1051,39.000,4961.000
1052,38.000,4962.000
1053,34.000,4966.000
1054,29960.000,24960.000
1055,68.000,4932.000
1056,44.000,4956.000
1057,89.000,4911.000
1058,68.000,4932.000
1059,46.000,4954.000
1060,30462.000,25462.000
1061,84.000,4916.000
1062,60.000,4940.000
1063,37.000,4963.000
1064,38.000,4962.000
1065,47.000,4953.000
1066,16435.000,11435.000
1067,96.000,4904.000
1068,45.000,4955.000
1069,45.000,4955.000
1070,14248.000,9248.000
1071,70.000,4930.000
1072,15361.000,10361.000
1073,73.000,4927.000
1074,38.000,4962.000
1075,33.000,4967.000
1076,15346.000,10346.000
1077,61.000,4939.000
1078,37.000,4963.000
1079,15958.000,10958.000
1080,63.000,4937.000
1081,39.000,4961.000
1082,31708.000,26708.000
1083,60.000,4940.000
1084,44.000,4956.000
1085,41.000,4959.000
1086,40.000,4960.000
1087,33.000,4967.000
1088,28119.000,23119.000
1089,84.000,4916.000
1090,39.000,4961.000
1091,36.000,4964.000
1092,30.000,4970.000
1093,31.000,4969.000
1094,16581.000,11581.000
1095,81.000,4919.000
1096,41.000,4959.000
1097,29878.000,24878.000
1098,114.000,4886.000
1099,42.000,4958.000
1100,34.000,4966.000
1101,39.000,4961.000
1102,56.000,4944.000
1103,29781.000,24781.000
1104,83.000,4917.000
1105,41.000,4959.000
1106,33.000,4967.000
1107,30.000,4970.000
1108,32.000,4968.000
1109,14898.000,9898.000
1110,86.000,4914.000
1111,51.000,4949.000
1112,15045.000,10045.000
1113,70.000,4930.000
1114,35.000,4965.000
1115,14227.000,9227.000
1116,67.000,4933.000
1117,36.000,4964.000
1118,32467.000,27467.000
1119,135.000,4865.000
1120,52.000,4948.000
1121,44.000,4956.000
1122,13682.000,8682.000
1123,90.000,4910.000
1124,65.000,4935.000
1125,40.000,4960.000
1126,33.000,4967.000
1127,34.000,4966.000
1128,29323.000,24323.000
1129,67.000,4933.000
1130,49.000,4951.000
1131,34.000,4966.000
1132,30.000,4970.000
1133,16798.000,11798.000
1134,93.000,4907.000
1135,32.000,4968.000
1136,30.000,4970.000
1137,14577.000,9577.000
1138,50.000,4950.000
1139,41.000,4959.000
1140,30326.000,25326.000
1141,92.000,4908.000
1142,46.000,4954.000
1143,41.000,4959.000
1144,40.000,4960.000
1145,38.000,4962.000
1146,31497.000,26497.000
1147,66.000,4934.000
1148,34.000,4966.000
1149,33.000,4967.000
1150,30.000,4970.000
1151,29.000,4971.000
1152,14049.000,9049.000
1153,71.000,4929.000
1154,54.000,4946.000
1155,32259.000,27259.000
1156,81.000,4919.000
1157,46.000,4954.000
1158,60.000,4940.000
1159,146.000,4854.000
1160,53.000,4947.000
1161,44.000,4956.000
1162,29653.000,24653.000
1163,99.000,4901.000
1164,48.000,4952.000
1165,30.000,4970.000
1166,19.000,4981.000
1167,18.000,4982.000
1168,15666.000,10666.000
1169,72.000,4928.000
1170,40.000,4960.000
1171,31148.000,26148.000
1172,138.000,4862.000
1173,57.000,4943.000
1174,121.000,4879.000
1175,99.000,4901.000
1176,44.000,4956.000
1177,32032.000,27032.000
1178,80.000,4920.000
1179,58.000,4942.000
1180,36.000,4964.000
1181,29.000,4971.000
1182,30.000,4970.000
1183,29.000,4971.000
1184,13785.000,8785.000
1185,69.000,4931.000
1186,30927.000,25927.000
1187,48.000,4952.000
1188,49.000,4951.000
1189,37.000,4963.000
1190,35.000,4965.000
1191,34.000,4966.000
1192,15186.000,10186.000
1193,101.000,4899.000
1194,42.000,4958.000
1195,204.000,4796.000
1196,31213.000,26213.000
1197,63.000,4937.000
1198,38.000,4962.000
1199,35.000,4965.000
1200,36.000,4964.000
1201,36.000,4964.000
1202,32041.000,27041.000
1203,82.000,4918.000
1204,48.000,4952.000
1205,41.000,4959.000
1206,40.000,4960.000
1207,64.000,4936.000
1208,29768.000,24768.000
1209,15832.000,10832.000
1210,57.000,4943.000
1211,31.000,4969.000
1212,40.000,4960.000
1213,40.000,4960.000
1214,1438.000,3562.000
1215,77.000,4923.000
1216,47.000,4953.000
1217,12846.000,7846.000
1218,71.000,4929.000
1219,36.000,4964.000
1220,29329.000,24329.000
1221,73.000,4927.000
