t,steps_j4,steps_j5,steps_j6,deg_j6_cmd,enc_j6_raw,enc_valid
6.7464,0,0,0,0.000,0,1
6.7804,0,0,0,0.000,0,1
6.8389,0,0,0,0.000,0,1
6.8791,0,0,0,0.000,0,1
6.9321,0,0,0,0.000,0,1
6.9658,0,0,0,0.000,0,1
6.9896,0,0,0,0.000,0,1
7.0167,0,0,0,0.000,0,1
7.0449,0,0,0,0.000,0,1
7.0935,0,0,0,0.000,0,1
7.1166,0,0,0,0.000,0,1
7.1370,0,0,0,0.000,0,1
7.1576,0,0,0,0.000,0,1
7.1781,0,0,0,0.000,0,1
7.2046,0,0,0,0.000,0,1
7.2304,0,0,0,0.000,0,1
7.2544,0,0,0,0.000,0,1
7.2756,0,0,0,0.000,0,1
7.2960,0,0,0,0.000,0,1
7.3163,0,0,0,0.000,0,1
7.3367,0,0,0,0.000,0,1
7.3575,0,0,0,0.000,0,1
7.3792,0,0,0,0.000,0,1
7.3999,0,0,0,0.000,0,1
7.4214,0,0,0,0.000,0,1
7.4418,0,0,0,0.000,0,1
7.4624,0,0,0,0.000,0,1
7.4830,0,0,0,0.000,0,1
7.5033,0,0,0,0.000,0,1
7.5239,0,0,0,0.000,0,1
7.5454,0,0,0,0.000,0,1
7.5662,0,0,0,0.000,0,1
7.5865,0,0,0,0.000,0,1
7.6068,0,0,0,0.000,0,1
7.6279,0,0,0,0.000,0,1
7.6482,0,0,0,0.000,0,1
7.6686,0,0,0,0.000,0,1
7.6890,0,0,0,0.000,0,1
7.7093,0,0,0,0.000,0,1
7.7300,0,0,0,0.000,0,1
7.7501,0,0,0,0.000,0,1
7.7725,0,0,0,0.000,0,1
7.7980,0,0,0,0.000,0,1
7.8231,0,0,0,0.000,0,1
7.8443,0,0,0,0.000,0,1
7.8706,0,0,0,0.000,0,1
7.8924,0,0,0,0.000,0,1
7.9138,0,0,0,0.000,0,1
7.9350,0,0,0,0.000,0,1
7.9576,0,0,0,0.000,0,1
7.9788,0,0,0,0.000,0,1
7.9995,0,0,0,0.000,0,1
8.0206,0,0,0,0.000,0,1
8.0413,0,0,0,0.000,0,1
8.0615,0,0,0,0.000,0,1
8.0828,0,0,0,0.000,0,1
8.1043,0,0,0,0.000,0,1
8.1254,0,0,0,0.000,0,1
8.1458,0,0,0,0.000,0,1
8.1680,0,0,0,0.000,0,1
8.1894,0,0,0,0.000,0,1
8.2131,0,0,0,0.000,0,1
8.2422,0,0,0,0.000,0,1
8.2717,0,0,0,0.000,0,1
8.2992,0,0,0,0.000,0,1
8.3232,0,0,0,0.000,0,1
8.3467,0,0,0,0.000,0,1
8.3673,0,0,0,0.000,0,1
8.3883,0,0,0,0.000,0,1
8.4089,0,0,0,0.000,0,1
8.4315,0,0,0,0.000,0,1
8.4519,0,0,0,0.000,0,1
8.4727,0,0,0,0.000,0,1
8.4930,0,0,0,0.000,0,1
8.5132,0,0,0,0.000,0,1
8.5335,0,0,0,0.000,0,1
8.5542,0,0,0,0.000,0,1
8.5753,0,0,0,0.000,0,1
8.5956,0,0,0,0.000,0,1
8.6214,0,0,0,0.000,0,1
8.6459,0,0,0,0.000,0,1
8.6662,0,0,0,0.000,0,1
8.6893,0,0,0,0.000,0,1
8.7137,0,0,0,0.000,0,1
8.7474,0,0,0,0.000,0,1
8.7820,0,0,0,0.000,0,1
8.8047,0,0,0,0.000,0,1
8.8255,0,0,0,0.000,0,1
8.8458,0,0,0,0.000,0,1
8.8666,0,0,0,0.000,0,1
8.8884,0,0,0,0.000,0,1
8.9093,0,0,0,0.000,0,1
8.9295,0,0,0,0.000,0,1
8.9499,0,0,0,0.000,0,1
8.9727,0,0,0,0.000,0,1
8.9935,0,0,0,0.000,0,1
9.0139,0,0,0,0.000,0,1
9.0343,0,0,0,0.000,0,1
9.0548,0,0,0,0.000,0,1
9.0753,0,0,0,0.000,0,1
9.0956,0,0,0,0.000,0,1
9.1161,0,0,0,0.000,0,1
9.1391,0,0,0,0.000,0,1
9.1604,0,0,0,0.000,0,1
9.1810,0,0,0,0.000,0,1
9.2016,0,0,0,0.000,0,1
9.2218,0,0,0,0.000,0,1
9.2432,0,0,0,0.000,0,1
9.2641,0,0,0,0.000,0,1
9.2908,0,0,0,0.000,0,1
9.3127,0,0,0,0.000,0,1
9.3330,0,0,0,0.000,0,1
9.3599,0,0,0,0.000,0,1
9.3804,0,0,0,0.000,0,1
9.4014,0,0,0,0.000,0,1
9.4222,0,0,0,0.000,0,1
9.4426,0,0,0,0.000,0,1
9.4632,0,0,0,0.000,0,1
9.4839,0,0,0,0.000,0,1
9.5043,0,0,0,0.000,0,1
9.5251,0,0,0,0.000,0,1
9.5453,0,0,0,0.000,0,1
9.5658,0,0,0,0.000,0,1
9.5878,0,0,0,0.000,0,1
9.6084,0,0,0,0.000,0,1
9.6289,0,0,0,0.000,0,1
9.6502,0,0,0,0.000,0,1
9.6749,0,0,0,0.000,0,1
9.6959,0,0,0,0.000,0,1
9.7163,0,0,0,0.000,0,1
9.7366,0,0,0,0.000,0,1
9.7572,0,0,0,0.000,0,1
9.7787,0,0,0,0.000,0,1
9.7993,0,0,0,0.000,0,1
9.8195,0,0,0,0.000,0,1
9.8456,0,0,0,0.000,0,1
9.8668,0,0,0,0.000,0,1
9.8912,0,0,0,0.000,0,1
9.9128,0,0,0,0.000,0,1
9.9334,0,0,0,0.000,0,1
9.9549,0,0,0,0.000,0,1
9.9752,0,0,0,0.000,0,1
9.9954,0,0,0,0.000,0,1
10.0160,0,0,0,0.000,0,1
10.0367,0,0,0,0.000,0,1
10.0572,0,0,0,0.000,0,1
10.0777,0,0,0,0.000,0,1
10.0986,0,0,0,0.000,0,1
10.1223,0,0,0,0.000,0,1
10.1473,0,0,0,0.000,0,1
10.1677,0,0,0,0.000,0,1
10.1883,0,0,0,0.000,0,1
10.2087,0,0,0,0.000,0,1
10.2295,0,0,0,0.000,0,1
10.2498,0,0,0,0.000,0,1
10.2713,0,0,0,0.000,0,1
10.2927,0,0,0,0.000,0,1
10.3130,0,0,0,0.000,0,1
10.3333,0,0,0,0.000,0,1
